Sale_ID,Sale_Date,Year,Month,Country,State_Region,City,Dealer_Name,Brand,Model,Vehicle_Type,Vehicle_Segment,Fuel_Type,Transmission,Vehicle_Year,Customer_Age,Customer_Gender,Customer_Type,Units_Sold,Unit_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Payment_Method,Finance_Status,Customer_Rating
AS100010,2025-04-14,2025,Apr,India,Tamil Nadu,Salem,AutoHub 5,Mercedes-Benz,C-Class,Sedan,Luxury,Petrol,Automatic,2023,46,Male,Retail,3,53785.97,12395.31,148962.61,108453.06,40509.54,0.2719,Bank Finance,Approved,3.7
AS100011,2026-05-22,2026,May,India,Karnataka,Mangaluru,Prime Auto 5,Toyota,Corolla,Sedan,Mid-Size,Petrol,Automatic,2024,27,Male,Retail,1,27349.0,2932.89,24416.11,19981.08,4435.03,0.1816,Lease,Approved,4.6
AS100012,2024-12-27,2024,Dec,India,Tamil Nadu,Madurai,AutoHub 6,Hyundai,Creta,SUV,Compact SUV,Petrol,Automatic,2022,46,Male,Fleet,1,21483.24,1089.54,20393.7,17303.81,3089.89,0.1515,Cash,Not Required,4.3
AS100013,2026-05-18,2026,May,Germany,Saxony,Dresden,AutoHub 7,Honda,CR-V,SUV,Mid-Size SUV,Hybrid,CVT,2021,39,Female,Retail,1,38678.49,3844.62,34833.87,26029.9,8803.97,0.2527,Credit Card,Not Required,4.3
AS100014,2024-08-22,2024,Aug,UK,England,Birmingham,Prime Auto 8,Nissan,Qashqai,SUV,Compact SUV,Petrol,CVT,2021,55,Male,Retail,1,32847.37,1431.23,31416.14,23117.83,8298.31,0.2641,Lease,Approved,4.5
AS100015,2024-08-11,2024,Aug,USA,Illinois,Chicago,Prime Auto 15,Honda,CR-V,SUV,Mid-Size SUV,Hybrid,CVT,2022,44,Male,Retail,1,37304.04,1640.37,35663.67,29413.34,6250.33,0.1753,Credit Card,Not Required,4.6
AS100016,2026-06-22,2026,Jun,USA,Florida,Miami,Global Wheels 15,Hyundai,Ioniq 5,Hatchback,Electric,Electric,Automatic,2021,34,Male,Retail,4,41046.15,21504.41,142680.19,97660.98,45019.21,0.3155,Credit Card,Not Required,4.2
AS100017,2025-02-12,2025,Feb,India,Kerala,Kochi,Elite Motors 8,Tesla,Model 3,Sedan,Electric,Electric,Automatic,2021,56,Female,Corporate,1,42001.15,929.92,41071.23,28735.32,12335.91,0.3004,Credit Card,Not Required,3.7
AS100018,2025-08-13,2025,Aug,USA,Texas,Dallas,Elite Motors 15,Tesla,Model Y,SUV,Electric,Electric,Automatic,2026,60,Male,Retail,1,48317.77,5996.18,42321.59,32236.41,10085.17,0.2383,Bank Finance,Approved,5.0
AS100019,2026-05-08,2026,May,Australia,Western Australia,Perth,Global Wheels 2,Honda,Civic,Sedan,Compact,Petrol,CVT,2021,34,Male,Corporate,1,23244.97,3033.85,20211.12,14345.77,5865.35,0.2902,Cash,Not Required,3.9
AS100020,2024-02-23,2024,Feb,Japan,Tokyo,Tokyo,Metro Motors 9,Tesla,Model 3,Sedan,Electric,Electric,Automatic,2022,32,Female,Retail,1,38360.33,3089.66,35270.67,29539.22,5731.45,0.1625,Cash,Not Required,3.7
AS100021,2024-08-30,2024,Aug,USA,Illinois,Chicago,CityDrive 15,Ford,Mustang,Coupe,Sports,Petrol,Automatic,2024,41,Male,Retail,1,40434.38,4852.73,35581.65,24528.32,11053.33,0.3106,Cash,Not Required,4.4
AS100022,2024-08-21,2024,Aug,Australia,Western Australia,Perth,AutoHub 11,Nissan,Qashqai,SUV,Compact SUV,Petrol,CVT,2026,33,Female,Retail,2,28407.31,4791.07,52023.55,40191.32,11832.23,0.2274,Bank Finance,Approved,4.9
AS100023,2025-02-26,2025,Feb,USA,Texas,Houston,Elite Motors 9,Honda,Civic,Sedan,Compact,Petrol,CVT,2023,41,Male,Retail,1,24144.73,1582.34,22562.39,18127.38,4435.0,0.1966,Lease,Pending,3.9
AS100024,2026-07-24,2026,Jul,Australia,Victoria,Melbourne,Elite Motors 11,Hyundai,Creta,SUV,Compact SUV,Petrol,Automatic,2026,42,Female,Retail,1,20530.25,2221.11,18309.14,13117.27,5191.87,0.2836,Lease,Approved,4.5
AS100025,2025-07-19,2025,Jul,Canada,Ontario,Ottawa,Prime Auto 2,Tesla,Model 3,Sedan,Electric,Electric,Automatic,2021,22,Male,Fleet,2,40510.72,9229.55,71791.89,59093.39,12698.5,0.1769,Bank Finance,Approved,3.5
AS100026,2024-06-15,2024,Jun,Japan,Aichi,Nagoya,CityDrive 14,Honda,CR-V,SUV,Mid-Size SUV,Hybrid,CVT,2021,44,Male,Retail,2,38874.56,6146.72,71602.4,56417.45,15184.95,0.2121,Cash,Not Required,3.8
AS100027,2025-10-02,2025,Oct,India,Kerala,Kochi,Global Wheels 17,Mercedes-Benz,GLC,SUV,Luxury SUV,Hybrid,Automatic,2025,32,Female,Retail,2,66495.4,6977.25,126013.54,93949.97,32063.57,0.2544,Cash,Not Required,4.0
AS100028,2025-03-02,2025,Mar,USA,California,San Jose,Global Wheels 5,Hyundai,Ioniq 5,Hatchback,Electric,Electric,Automatic,2025,52,Male,Fleet,2,42666.7,5560.59,79772.82,68412.66,11360.15,0.1424,Lease,Approved,4.6
AS100029,2024-04-29,2024,Apr,Australia,Western Australia,Perth,AutoHub 14,Kia,Sportage,SUV,Compact SUV,Petrol,Automatic,2021,54,Female,Retail,1,31467.32,1744.65,29722.67,22664.69,7057.99,0.2375,Bank Finance,Pending,3.7
AS100030,2026-08-29,2026,Aug,Japan,Tokyo,Tokyo,Elite Motors 5,BMW,X5,SUV,Luxury SUV,Hybrid,Automatic,2021,33,Female,Retail,5,71613.31,35095.89,322970.67,224877.8,98092.87,0.3037,Cash,Not Required,4.2
AS100031,2026-01-26,2026,Jan,USA,Florida,Miami,Metro Motors 12,Volkswagen,Tiguan,SUV,Mid-Size SUV,Diesel,Automatic,2025,34,Female,Retail,1,32561.61,3018.82,29542.79,24351.14,5191.65,0.1757,Lease,Approved,3.3
AS100032,2024-04-27,2024,Apr,Australia,Western Australia,Perth,AutoHub 13,Nissan,Qashqai,SUV,Compact SUV,Petrol,CVT,2025,48,Female,Retail,1,28349.54,2283.38,26066.16,21221.35,4844.82,0.1859,Lease,Approved,4.2
AS100033,2024-04-07,2024,Apr,India,Tamil Nadu,Chennai,AutoHub 4,Ford,F-150,Pickup,Full-Size,Petrol,Automatic,2025,55,Female,Retail,1,38067.27,4800.19,33267.09,26870.63,6396.46,0.1923,Cash,Not Required,4.6
AS100034,2025-06-12,2025,Jun,Germany,Saxony,Dresden,Global Wheels 9,Mercedes-Benz,GLC,SUV,Luxury SUV,Hybrid,Automatic,2025,36,Male,Retail,3,60776.65,16293.38,166036.57,133818.78,32217.79,0.194,Lease,Approved,3.9
AS100035,2024-05-05,2024,May,Canada,Quebec,Quebec City,CityDrive 6,Mercedes-Benz,GLC,SUV,Luxury SUV,Hybrid,Automatic,2021,38,Male,Retail,1,64616.25,6213.21,58403.04,44043.25,14359.79,0.2459,Bank Finance,Approved,3.6
AS100036,2025-02-11,2025,Feb,UAE,Dubai,Dubai,Global Wheels 10,Ford,F-150,Pickup,Full-Size,Petrol,Automatic,2023,49,Male,Retail,1,43033.18,4229.82,38803.36,28594.92,10208.44,0.2631,Bank Finance,Approved,3.9
AS100037,2025-05-14,2025,May,Canada,Alberta,Calgary,AutoHub 2,Nissan,Leaf,Hatchback,Electric,Electric,Automatic,2025,38,Female,Retail,1,34559.17,1995.24,32563.93,27051.79,5512.13,0.1693,Lease,Approved,4.5
AS100038,2024-06-17,2024,Jun,UK,Wales,Cardiff,Metro Motors 2,Mercedes-Benz,GLC,SUV,Luxury SUV,Hybrid,Automatic,2025,20,Male,Corporate,2,61656.04,4739.32,118572.77,93453.28,25119.49,0.2118,Bank Finance,Rejected,3.3
AS100039,2025-02-17,2025,Feb,UAE,Abu Dhabi,Abu Dhabi,Elite Motors 17,Tesla,Model Y,SUV,Electric,Electric,Automatic,2022,42,Female,Retail,1,42418.69,1912.53,40506.17,31372.67,9133.5,0.2255,Bank Finance,Pending,4.5
AS100040,2026-03-28,2026,Mar,UAE,Sharjah,Sharjah,Elite Motors 16,Ford,Mustang,Coupe,Sports,Petrol,Automatic,2025,36,Male,Retail,1,46055.84,3318.48,42737.36,32671.8,10065.55,0.2355,Bank Finance,Pending,3.9
AS100041,2024-10-11,2024,Oct,India,Kerala,Kochi,Global Wheels 11,Honda,CR-V,SUV,Mid-Size SUV,Hybrid,CVT,2022,49,Male,Retail,1,39193.84,3782.62,35411.21,28217.31,7193.9,0.2032,Credit Card,Not Required,4.0
AS100042,2025-06-09,2025,Jun,India,Kerala,Kozhikode,Global Wheels 15,Tesla,Model 3,Sedan,Electric,Electric,Automatic,2026,41,Male,Corporate,2,39817.37,10284.53,69350.22,54487.24,14862.98,0.2143,Bank Finance,Approved,3.5
AS100043,2024-01-22,2024,Jan,Japan,Aichi,Nagoya,CityDrive 1,Honda,Civic,Sedan,Compact,Petrol,CVT,2023,41,Female,Retail,1,23478.85,539.52,22939.34,19428.31,3511.03,0.1531,Bank Finance,Approved,4.4
AS100044,2025-11-15,2025,Nov,Germany,Berlin,Berlin,CityDrive 9,Honda,CR-V,SUV,Mid-Size SUV,Hybrid,CVT,2024,23,Female,Retail,2,39623.96,8438.6,70809.32,60427.12,10382.2,0.1466,Lease,Approved,3.9
AS100045,2025-09-24,2025,Sep,Canada,British Columbia,Vancouver,CityDrive 14,Mercedes-Benz,C-Class,Sedan,Luxury,Petrol,Automatic,2024,40,Female,Fleet,1,55471.04,6101.7,49369.33,36650.25,12719.08,0.2576,Cash,Not Required,3.2
AS100046,2026-08-17,2026,Aug,UAE,Abu Dhabi,Abu Dhabi,Global Wheels 1,Volkswagen,Tiguan,SUV,Mid-Size SUV,Diesel,Automatic,2026,20,Male,Corporate,1,36088.23,4195.15,31893.08,26995.78,4897.3,0.1536,Cash,Not Required,4.5
AS100047,2024-12-25,2024,Dec,UK,Northern Ireland,Belfast,Metro Motors 15,Toyota,Corolla,Sedan,Mid-Size,Petrol,Automatic,2021,40,Female,Corporate,2,27765.04,6447.3,49082.79,33808.89,15273.9,0.3112,Credit Card,Not Required,3.8
AS100048,2024-09-13,2024,Sep,Germany,Bavaria,Nuremberg,Global Wheels 7,Hyundai,Creta,SUV,Compact SUV,Petrol,Automatic,2025,42,Male,Corporate,1,20318.17,2485.6,17832.57,13243.28,4589.29,0.2574,Bank Finance,Approved,5.0
AS100049,2026-04-23,2026,Apr,India,Karnataka,Mysuru,Elite Motors 12,Volkswagen,Tiguan,SUV,Mid-Size SUV,Diesel,Automatic,2022,43,Male,Retail,2,39191.2,4355.2,74027.21,55774.29,18252.92,0.2466,Bank Finance,Rejected,4.0
AS100050,2025-04-27,2025,Apr,Canada,Alberta,Calgary,Elite Motors 17,BMW,X5,SUV,Luxury SUV,Hybrid,Automatic,2026,56,Male,Retail,1,65306.91,1444.61,63862.31,48636.92,15225.39,0.2384,Bank Finance,Approved,4.2
AS100051,2025-06-10,2025,Jun,UAE,Ajman,Ajman,Metro Motors 6,Hyundai,Creta,SUV,Compact SUV,Petrol,Automatic,2026,37,Male,Retail,3,21544.08,7049.96,57582.27,45278.9,12303.37,0.2137,Bank Finance,Approved,4.2
AS100052,2026-05-01,2026,May,UK,England,London,Metro Motors 6,BMW,3 Series,Sedan,Luxury,Petrol,Automatic,2021,42,Female,Corporate,1,48732.07,6791.51,41940.56,33612.32,8328.24,0.1986,Bank Finance,Approved,3.9
AS100053,2026-07-19,2026,Jul,India,Maharashtra,Pune,CityDrive 1,BMW,3 Series,Sedan,Luxury,Petrol,Automatic,2025,35,Male,Fleet,1,44554.36,2206.69,42347.67,29295.93,13051.74,0.3082,Bank Finance,Approved,3.6
AS100054,2025-01-09,2025,Jan,India,Telangana,Hyderabad,Prime Auto 2,Kia,Sportage,SUV,Compact SUV,Petrol,Automatic,2025,28,Male,Retail,1,29096.34,587.73,28508.61,19960.95,8547.66,0.2998,Cash,Not Required,3.5
AS100055,2024-01-29,2024,Jan,Japan,Osaka,Osaka,Metro Motors 16,Mercedes-Benz,GLC,SUV,Luxury SUV,Hybrid,Automatic,2022,44,Female,Corporate,1,61038.88,2996.88,58042.0,44481.96,13560.04,0.2336,Bank Finance,Approved,3.6
AS100056,2026-04-21,2026,Apr,Germany,Bavaria,Munich,Global Wheels 5,Mercedes-Benz,GLC,SUV,Luxury SUV,Hybrid,Automatic,2025,38,Male,Retail,3,57154.82,7304.15,164160.31,112553.4,51606.91,0.3144,Credit Card,Not Required,3.2
AS100057,2025-10-31,2025,Oct,India,Maharashtra,Mumbai,Elite Motors 17,Hyundai,Ioniq 5,Hatchback,Electric,Electric,Automatic,2026,38,Female,Retail,1,45132.67,5535.93,39596.75,28738.03,10858.72,0.2742,Bank Finance,Approved,3.9
AS100058,2024-05-24,2024,May,India,Karnataka,Mangaluru,AutoHub 3,Volkswagen,Golf,Hatchback,Compact,Petrol,Automatic,2022,44,Female,Retail,1,26555.23,780.01,25775.23,17665.57,8109.65,0.3146,Cash,Not Required,3.1
AS100059,2024-10-20,2024,Oct,Canada,Alberta,Edmonton,Elite Motors 1,Tesla,Model 3,Sedan,Electric,Electric,Automatic,2025,51,Female,Retail,1,37001.01,3817.45,33183.56,23597.82,9585.74,0.2889,Lease,Approved,4.1
AS100060,2025-07-23,2025,Jul,Japan,Kanagawa,Yokohama,Prime Auto 17,Hyundai,Ioniq 5,Hatchback,Electric,Electric,Automatic,2023,40,Female,Retail,1,40934.77,1066.86,39867.92,31376.93,8490.98,0.213,Credit Card,Not Required,4.4
AS100061,2025-08-03,2025,Aug,Australia,New South Wales,Sydney,Metro Motors 13,Toyota,RAV4,SUV,Compact SUV,Hybrid,Automatic,2021,48,Male,Retail,1,33973.93,3442.05,30531.88,24750.32,5781.56,0.1894,Credit Card,Not Required,4.7
AS100062,2026-06-19,2026,Jun,UAE,Dubai,Dubai,Global Wheels 17,Mercedes-Benz,C-Class,Sedan,Luxury,Petrol,Automatic,2024,35,Female,Retail,1,48818.35,6188.15,42630.19,32019.59,10610.6,0.2489,Cash,Not Required,4.2
AS100063,2026-06-14,2026,Jun,UK,England,Birmingham,CityDrive 14,Honda,CR-V,SUV,Mid-Size SUV,Hybrid,CVT,2026,41,Male,Retail,2,39444.23,5166.12,73722.35,56992.06,16730.29,0.2269,Credit Card,Not Required,4.8
AS100064,2024-04-11,2024,Apr,UAE,Sharjah,Sharjah,Elite Motors 16,Mercedes-Benz,C-Class,Sedan,Luxury,Petrol,Automatic,2025,30,Female,Retail,1,55573.44,1265.79,54307.66,46501.5,7806.16,0.1437,Credit Card,Not Required,4.1
AS100065,2025-09-02,2025,Sep,UAE,Sharjah,Sharjah,Metro Motors 3,BMW,X5,SUV,Luxury SUV,Hybrid,Automatic,2022,69,Female,Retail,1,75281.19,5730.17,69551.02,49757.75,19793.28,0.2846,Bank Finance,Approved,4.1
AS100066,2024-01-24,2024,Jan,UK,Wales,Cardiff,Prime Auto 1,BMW,3 Series,Sedan,Luxury,Petrol,Automatic,2026,28,Male,Corporate,2,46829.89,4144.5,89515.28,63863.59,25651.69,0.2866,Bank Finance,Approved,3.9
AS100067,2024-08-26,2024,Aug,India,Maharashtra,Mumbai,CityDrive 2,Nissan,Leaf,Hatchback,Electric,Electric,Automatic,2024,20,Male,Retail,1,34334.74,4298.89,30035.85,25299.06,4736.79,0.1577,Lease,Rejected,4.6
AS100068,2024-08-04,2024,Aug,Germany,Bavaria,Nuremberg,CityDrive 13,BMW,3 Series,Sedan,Luxury,Petrol,Automatic,2024,20,Female,Retail,1,45746.99,2305.22,43441.77,30793.96,12647.8,0.2911,Credit Card,Not Required,4.7
AS100069,2026-03-24,2026,Mar,Canada,Quebec,Quebec City,CityDrive 8,BMW,X5,SUV,Luxury SUV,Hybrid,Automatic,2023,39,Female,Retail,3,64200.91,24563.52,168039.22,117303.34,50735.88,0.3019,Lease,Approved,4.1
AS100070,2026-05-06,2026,May,India,Maharashtra,Mumbai,Metro Motors 9,Ford,Mustang,Coupe,Sports,Petrol,Automatic,2025,49,Female,Retail,1,41696.3,2058.78,39637.52,28104.02,11533.5,0.291,Lease,Approved,3.6
AS100071,2025-01-18,2025,Jan,UK,Scotland,Glasgow,Elite Motors 1,Hyundai,Creta,SUV,Compact SUV,Petrol,Automatic,2024,35,Male,Retail,4,21344.53,11473.51,73904.61,52431.17,21473.44,0.2906,Bank Finance,Approved,4.4
AS100072,2024-01-02,2024,Jan,Germany,Bavaria,Munich,AutoHub 16,Nissan,Qashqai,SUV,Compact SUV,Petrol,CVT,2022,42,Male,Retail,1,28723.43,3982.0,24741.43,20468.47,4272.96,0.1727,Bank Finance,Approved,2.5
AS100073,2026-06-26,2026,Jun,Canada,Quebec,Quebec City,CityDrive 17,Toyota,RAV4,SUV,Compact SUV,Hybrid,Automatic,2023,33,Female,Corporate,2,32721.29,8563.42,56879.16,43162.07,13717.08,0.2412,Cash,Not Required,4.0
AS100074,2025-01-22,2025,Jan,UK,Scotland,Edinburgh,CityDrive 11,Toyota,RAV4,SUV,Compact SUV,Hybrid,Automatic,2023,38,Male,Retail,1,37548.6,2189.04,35359.56,28666.43,6693.13,0.1893,Credit Card,Not Required,4.7
AS100075,2025-05-26,2025,May,India,Maharashtra,Pune,Metro Motors 6,Nissan,Leaf,Hatchback,Electric,Electric,Automatic,2023,40,Female,Corporate,1,32317.65,4107.53,28210.12,22989.31,5220.81,0.1851,Bank Finance,Approved,4.4
AS100076,2024-12-22,2024,Dec,UK,Northern Ireland,Belfast,AutoHub 5,Tesla,Model 3,Sedan,Electric,Electric,Automatic,2025,36,Male,Retail,1,42955.27,3020.45,39934.83,31807.01,8127.82,0.2035,Bank Finance,Approved,3.7
AS100077,2025-10-12,2025,Oct,USA,Illinois,Chicago,CityDrive 15,BMW,3 Series,Sedan,Luxury,Petrol,Automatic,2021,45,Male,Retail,1,51630.25,6364.75,45265.5,32790.44,12475.06,0.2756,Cash,Not Required,3.5
AS100078,2024-09-30,2024,Sep,UK,Northern Ireland,Belfast,Prime Auto 6,Honda,Civic,Sedan,Compact,Petrol,CVT,2022,41,Female,Retail,1,25976.82,3490.0,22486.81,17760.33,4726.48,0.2102,Credit Card,Not Required,4.1
AS100079,2025-01-24,2025,Jan,Canada,British Columbia,Vancouver,AutoHub 8,Hyundai,Creta,SUV,Compact SUV,Petrol,Automatic,2023,42,Male,Corporate,1,21184.56,2802.98,18381.58,15325.04,3056.54,0.1663,Bank Finance,Approved,3.6
AS100080,2026-02-27,2026,Feb,Canada,British Columbia,Vancouver,CityDrive 11,BMW,3 Series,Sedan,Luxury,Petrol,Automatic,2022,32,Female,Corporate,4,51311.92,22938.49,182309.18,148995.13,33314.05,0.1827,Bank Finance,Approved,5.0
AS100081,2025-03-25,2025,Mar,Canada,Quebec,Montreal,AutoHub 14,Ford,F-150,Pickup,Full-Size,Petrol,Automatic,2024,36,Male,Corporate,2,39095.14,1634.24,76556.03,56690.0,19866.03,0.2595,Lease,Approved,4.4
AS100082,2025-01-14,2025,Jan,Japan,Tokyo,Tokyo,Elite Motors 5,Honda,Civic,Sedan,Compact,Petrol,CVT,2023,28,Male,Retail,1,27111.21,3733.17,23378.04,16190.12,7187.92,0.3075,Credit Card,Not Required,4.0
AS100083,2025-10-08,2025,Oct,UK,Scotland,Edinburgh,Prime Auto 2,Ford,Mustang,Coupe,Sports,Petrol,Automatic,2023,22,Male,Retail,1,43866.59,4489.29,39377.3,31402.75,7974.55,0.2025,Lease,Approved,3.7
AS100084,2026-08-09,2026,Aug,India,Kerala,Thiruvananthapuram,Metro Motors 4,Honda,Civic,Sedan,Compact,Petrol,CVT,2022,49,Male,Retail,1,24271.35,2778.96,21492.39,17833.99,3658.4,0.1702,Bank Finance,Approved,3.7
AS100085,2025-04-23,2025,Apr,Canada,Alberta,Edmonton,Elite Motors 2,Honda,CR-V,SUV,Mid-Size SUV,Hybrid,CVT,2022,39,Female,Retail,1,36963.65,1038.76,35924.89,24770.4,11154.49,0.3105,Bank Finance,Approved,4.1
AS100086,2026-03-12,2026,Mar,India,Karnataka,Mysuru,Metro Motors 4,Tesla,Model 3,Sedan,Electric,Electric,Automatic,2023,35,Female,Corporate,1,42269.76,1315.89,40953.87,30756.63,10197.24,0.249,Bank Finance,Approved,4.8
AS100087,2025-11-26,2025,Nov,Japan,Aichi,Nagoya,AutoHub 17,Tesla,Model Y,SUV,Electric,Electric,Automatic,2023,20,Male,Retail,2,43413.98,2632.44,84195.51,59924.68,24270.83,0.2883,Lease,Approved,4.7
AS100088,2024-06-23,2024,Jun,Australia,New South Wales,Newcastle,Prime Auto 10,Kia,EV6,Hatchback,Electric,Electric,Automatic,2023,39,Female,Fleet,2,45047.63,4189.05,85906.21,68561.17,17345.04,0.2019,Credit Card,Not Required,4.0
AS100089,2024-12-27,2024,Dec,Canada,Alberta,Calgary,AutoHub 5,Volkswagen,Golf,Hatchback,Compact,Petrol,Automatic,2025,33,Male,Retail,1,26245.0,1843.42,24401.58,19922.03,4479.55,0.1836,Bank Finance,Approved,3.2
AS100090,2025-03-14,2025,Mar,USA,Florida,Miami,Elite Motors 16,BMW,3 Series,Sedan,Luxury,Petrol,Automatic,2024,29,Male,Retail,1,52747.31,5145.76,47601.55,33842.46,13759.09,0.289,Bank Finance,Approved,4.0
AS100091,2025-04-06,2025,Apr,Germany,Bavaria,Munich,Global Wheels 7,Ford,Mustang,Coupe,Sports,Petrol,Automatic,2024,25,Female,Retail,1,41340.07,2923.9,38416.17,27340.97,11075.19,0.2883,Lease,Approved,4.0
AS100092,2024-11-29,2024,Nov,USA,California,San Diego,Metro Motors 15,BMW,X5,SUV,Luxury SUV,Hybrid,Automatic,2022,46,Male,Corporate,3,63917.7,6306.44,185446.66,129953.37,55493.29,0.2992,Cash,Not Required,2.9
AS100093,2026-03-09,2026,Mar,UAE,Ajman,Ajman,CityDrive 10,Honda,Civic,Sedan,Compact,Petrol,CVT,2025,45,Male,Retail,1,27188.36,2425.84,24762.53,20431.92,4330.61,0.1749,Lease,Approved,3.8
AS100094,2026-07-20,2026,Jul,Germany,Berlin,Berlin,Global Wheels 8,Nissan,Leaf,Hatchback,Electric,Electric,Automatic,2023,41,Female,Retail,1,30676.53,993.74,29682.8,24812.03,4870.77,0.1641,Bank Finance,Approved,3.5
AS100095,2026-02-20,2026,Feb,Australia,Queensland,Brisbane,CityDrive 2,Nissan,Qashqai,SUV,Compact SUV,Petrol,CVT,2026,36,Male,Retail,1,30370.91,3008.25,27362.66,21337.18,6025.48,0.2202,Bank Finance,Approved,3.8
AS100096,2026-08-01,2026,Aug,UK,England,Manchester,CityDrive 17,Tesla,Model 3,Sedan,Electric,Electric,Automatic,2023,45,Male,Corporate,1,42328.96,5557.82,36771.14,28958.42,7812.73,0.2125,Cash,Not Required,4.4
AS100097,2026-06-16,2026,Jun,Australia,Victoria,Melbourne,CityDrive 14,Nissan,Qashqai,SUV,Compact SUV,Petrol,CVT,2024,38,Male,Retail,1,27759.19,3031.73,24727.47,20607.53,4119.94,0.1666,Bank Finance,Approved,3.0
AS100098,2026-05-05,2026,May,UAE,Abu Dhabi,Abu Dhabi,Global Wheels 16,Volkswagen,Tiguan,SUV,Mid-Size SUV,Diesel,Automatic,2026,46,Male,Retail,2,35676.13,6020.6,65331.67,55778.53,9553.13,0.1462,Lease,Approved,3.2
AS100099,2025-07-18,2025,Jul,Japan,Kanagawa,Yokohama,Elite Motors 14,Volkswagen,Tiguan,SUV,Mid-Size SUV,Diesel,Automatic,2023,20,Female,Retail,1,39075.01,3628.72,35446.29,26814.99,8631.3,0.2435,Bank Finance,Approved,2.6
AS100100,2025-11-18,2025,Nov,USA,Illinois,Chicago,Prime Auto 1,Ford,F-150,Pickup,Full-Size,Petrol,Automatic,2022,56,Male,Retail,1,43379.04,1718.11,41660.93,33341.22,8319.71,0.1997,Credit Card,Not Required,4.1
AS100101,2025-05-23,2025,May,Japan,Osaka,Osaka,Metro Motors 10,Nissan,Leaf,Hatchback,Electric,Electric,Automatic,2026,36,Male,Retail,1,35502.85,2435.47,33067.38,27300.91,5766.47,0.1744,Cash,Not Required,5.0
AS100102,2026-05-11,2026,May,Canada,British Columbia,Vancouver,Global Wheels 1,Volkswagen,Tiguan,SUV,Mid-Size SUV,Diesel,Automatic,2024,30,Male,Retail,1,39154.8,5287.66,33867.14,23275.94,10591.21,0.3127,Bank Finance,Pending,3.7
AS100103,2026-03-26,2026,Mar,UK,Northern Ireland,Belfast,Prime Auto 3,Tesla,Model Y,SUV,Electric,Electric,Automatic,2026,45,Female,Retail,1,50744.85,4470.31,46274.55,34775.41,11499.13,0.2485,Cash,Not Required,3.9
